inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,pooled,high,within_subjects_all_vignettes,proximate,blame,CH,166,1.6566265060240963,1.0,0.7993471231531223
included_only,pooled,high,within_subjects_all_vignettes,proximate,wrong,CC,166,8.048192771084338,8.0,1.0491394968383443
included_only,pooled,high,within_subjects_all_vignettes,proximate,wrong,CH,166,2.0903614457831323,1.0,1.4305001844306344
included_only,pooled,high,within_subjects_all_vignettes,proximate,punish,CC,166,1.9518279081110537,1.791759469228055,0.7484730161510968
included_only,pooled,high,within_subjects_all_vignettes,proximate,punish,CH,166,0.3510978126051739,0.0,0.6454393947115284
included_only,pooled,high,between_subjects_first_vignette,distal,blame,CC,66,6.757575757575758,7.0,0.9456069448626603
included_only,pooled,high,between_subjects_first_vignette,distal,blame,CH,44,7.7727272727272725,8.0,0.6047731215432993
included_only,pooled,high,between_subjects_first_vignette,distal,blame,DIV,56,6.982142857142857,7.0,1.0701074105574029
included_only,pooled,high,between_subjects_first_vignette,distal,wrong,CC,66,6.803030303030303,6.0,0.9318252885055054
included_only,pooled,high,between_subjects_first_vignette,distal,wrong,CH,44,7.7727272727272725,8.0,0.9611920013321724
included_only,pooled,high,between_subjects_first_vignette,distal,wrong,DIV,56,6.321428571428571,6.0,1.4660663864063759
included_only,pooled,high,between_subjects_first_vignette,distal,punish,CC,66,1.3724974399603729,1.3862943611198906,0.563434049767454
included_only,pooled,high,between_subjects_first_vignette,distal,punish,CH,44,1.7158721177471201,1.7005986908310775,0.5299809209007176
included_only,pooled,high,between_subjects_first_vignette,distal,punish,DIV,56,1.548224722978913,1.791759469228055,0.6400310800943545
included_only,pooled,high,within_subjects_deltas,distal,blame,CH - CC,166,0.6325301204819277,1.0,0.8037199020214941
included_only,pooled,high,within_subjects_deltas,distal,blame,DIV - CC,166,0.27710843373493976,0.0,0.7517777397536102
included_only,pooled,high,within_subjects_deltas,distal,blame,"MIN(CH, DIV) - CC",166,0.06626506024096386,0.0,0.7314207193614414
included_only,pooled,high,within_subjects_deltas,proximate,blame,CC - CH,166,6.4879518072289155,7.0,0.8858343220649273
included_only,pooled,high,within_subjects_deltas,distal,wrong,CH - CC,166,0.5843373493975904,1.0,0.7398577959533383
