model_name,model_variant,analysis_scope,row_type,inclusion_filter,story_condition,contrast_label,display_label,estimate,standard_error,ci95_lower,ci95_upper,test_statistic,p_value,term_name,observed_standard_deviation,observed_median,n_model_rows,n_unique_participants,formula_string,analysis_meaning,likely_manuscript_use
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,coefficient,included_only,pooled,,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.CH]:C(story_condition, Treatment(reference='firework'))[T.trolley]",-0.5977263730826312,0.4919917279052942,-1.5620124404686377,0.3665596943033753,-1.2149114287500589,0.22439987436661102,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.CH]:C(story_condition, Treatment(reference='firework'))[T.trolley]",,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",How the CH - CC contrast changes in trolley relative to firework.,Supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,coefficient,included_only,pooled,,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.DIV]",0.6531914893616935,0.3820327825260354,-0.09557900530295882,1.4019619840263458,1.709778634814353,0.08730681526271847,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.DIV]",,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",DIV - CC in the firework story family.,Supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,coefficient,included_only,pooled,,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.DIV]:C(story_condition, Treatment(reference='firework'))[T.trolley]",0.08544487427465644,0.5142355328309101,-0.9224382496446918,1.0933279981940047,0.16615902406485836,0.8680318051820871,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.DIV]:C(story_condition, Treatment(reference='firework'))[T.trolley]",,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",How the DIV - CC contrast changes in trolley relative to firework.,Supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,coefficient,included_only,pooled,,Intercept,5.446808510638296,0.279765819296755,4.898477580711315,5.995139440565277,19.4691707669289,2.004907747441612e-84,Intercept,,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Predicted mean for CC in the firework story family.,Supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,observed_descriptive,included_only,firework,,Firework | CC observed mean,5.446808510638298,,,,,,,1.897464104469985,6.0,47,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Observed first-vignette Clark-blame descriptive statistic for one story-family × condition cell.,Figure support or supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,observed_descriptive,included_only,firework,,Firework | CH observed mean,6.78,,,,,,,1.4468826447763836,7.0,50,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Observed first-vignette Clark-blame descriptive statistic for one story-family × condition cell.,Figure support or supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,observed_descriptive,included_only,firework,,Firework | DIV observed mean,6.1,,,,,,,1.8210783977117087,6.0,50,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Observed first-vignette Clark-blame descriptive statistic for one story-family × condition cell.,Figure support or supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,observed_descriptive,included_only,trolley,,Trolley | CC observed mean,6.125,,,,,,,1.7458156662218185,6.0,48,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Observed first-vignette Clark-blame descriptive statistic for one story-family × condition cell.,Figure support or supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,observed_descriptive,included_only,trolley,,Trolley | CH observed mean,6.8604651162790695,,,,,,,1.5365607134555748,7.0,43,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Observed first-vignette Clark-blame descriptive statistic for one story-family × condition cell.,Figure support or supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,observed_descriptive,included_only,trolley,,Trolley | DIV observed mean,6.863636363636363,,,,,,,1.518734312249866,7.0,44,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Observed first-vignette Clark-blame descriptive statistic for one story-family × condition cell.,Figure support or supplement
