test_type,dv,group_column,group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,mean_difference_a_minus_b,median_difference_a_minus_b,ci95_lower,ci95_upper,test_statistic,df,p_value,effect_size_name,effect_size,analysis_mode,transformation,tail_type,directional_alternative,location_statistic_reported,inclusion_filter,comparison
welch_t_test_independent_punishment,clark_punish_ch,case_code_position_1,CH,CC,93,95,8.741935483870968,9.336842105263157,5.0,5.0,-0.0680616484944585,0.0,-0.3717250208977041,0.2356017239087871,-0.4421743560969966,185.97287272832008,0.6588768227897025,hedges_g,-0.06423457292566796,log1p_parametric,log1p,two_tailed,,mean_difference,included_only,clark_punish: CH rating when CH-first vs when CC-first
welch_t_test_independent_punishment,clark_punish_cc,case_code_position_1,CH,CC,93,95,6.688172043010753,6.315789473684211,5.0,3.0,0.12648149360097816,2.0,-0.18034112125647855,0.43330410845843487,0.8132586174407935,185.61030721676406,0.4171117772859092,hedges_g,0.11818455731911368,log1p_parametric,log1p,two_tailed,,mean_difference,included_only,clark_punish: CC rating when CH-first vs when CC-first
welch_t_test_independent_punishment,clark_punish_ch,case_code_position_1,CH,CC,147,141,9.428571428571429,9.546099290780141,5.0,6.0,-0.04006686040228602,-1.0,-0.278363823240812,0.19823010243623995,-0.33094600247767614,285.91795341337047,0.7409276783462242,hedges_g,-0.038888208621477974,log1p_parametric,log1p,two_tailed,,mean_difference,all_finishers,clark_punish: CH rating when CH-first vs when CC-first
welch_t_test_independent_punishment,clark_punish_cc,case_code_position_1,CH,CC,147,141,7.068027210884353,6.822695035460993,5.0,3.0,0.06987661745722362,2.0,-0.1779278351717787,0.3176810700862259,0.5550265102130832,285.82114814601766,0.5793106216439646,hedges_g,0.0652300625050654,log1p_parametric,log1p,two_tailed,,mean_difference,all_finishers,clark_punish: CC rating when CH-first vs when CC-first
