model_family,row_type,inclusion_filter,contrast_scope,contrast_label,estimate,std_error,ci95_lower,ci95_upper,test_statistic,p_value,n_observations,formula
repeated_measures_position_sensitivity_clustered_ols,position_interaction_coefficient,included_only,position_sensitivity,"C(vignette_condition, Treatment(reference=""CC""))[T.DIV]:C(vignette_position, Treatment(reference=1))[T.2]",-0.009846394246834055,0.4036286863686094,-0.8009440826565215,0.7812512941628533,-0.02439468397407697,0.9805377886395247,846,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(vignette_position, Treatment(reference=1)) + C(story_condition, Treatment(reference=""parade""))"
repeated_measures_position_sensitivity_clustered_ols,position_interaction_coefficient,included_only,position_sensitivity,"C(vignette_condition, Treatment(reference=""CC""))[T.CH]:C(vignette_position, Treatment(reference=1))[T.3]",0.02490724291071951,0.3861205789457578,-0.7318751855127203,0.7816896713341595,0.06450638548902227,0.9485670228181666,846,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(vignette_position, Treatment(reference=1)) + C(story_condition, Treatment(reference=""parade""))"
repeated_measures_position_sensitivity_clustered_ols,position_interaction_coefficient,included_only,position_sensitivity,"C(vignette_condition, Treatment(reference=""CC""))[T.DIV]:C(vignette_position, Treatment(reference=1))[T.3]",-0.19438610543385001,0.39858294105237563,-0.9755943147485576,0.5868221038808575,-0.48769298786499443,0.6257673193154399,846,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(vignette_position, Treatment(reference=1)) + C(story_condition, Treatment(reference=""parade""))"
repeated_measures_clark_blame_clustered_ols,coefficient,all_finishers,not_applicable,Intercept,5.540773074599668,0.13567732525039333,5.274850403590171,5.806695745609166,40.83787076708756,0.0,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,coefficient,all_finishers,not_applicable,"C(vignette_condition, Treatment(reference=""CC""))[T.CH]",1.183538202181138,0.12223218092118655,0.9439675298238285,1.4231088745384477,9.682705432084742,3.571377839007472e-22,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,coefficient,all_finishers,not_applicable,"C(vignette_condition, Treatment(reference=""CC""))[T.DIV]",0.7077083236139339,0.12361226348746632,0.46543273913102434,0.9499839080968434,5.7252274462694555,1.03295256879951e-08,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,coefficient,all_finishers,not_applicable,"C(story_condition, Treatment(reference=""parade""))[T.trolley]",0.16347219944553154,0.17418414094476226,-0.17792244348425107,0.5048668423753142,0.9385021997919563,0.3479863870068505,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,coefficient,all_finishers,not_applicable,"C(vignette_position, Treatment(reference=1))[T.2]",0.3481741425505638,0.08404416605655106,0.18345060396902,0.5128976811321075,4.142752065816047,3.431628709157928e-05,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,coefficient,all_finishers,not_applicable,"C(vignette_position, Treatment(reference=1))[T.3]",0.4043151537269509,0.09285444932435015,0.2223237772469251,0.5863065302069768,4.354289500060858,1.3349918916330747e-05,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,coefficient,all_finishers,not_applicable,"C(vignette_condition, Treatment(reference=""CC""))[T.CH]:C(story_condition, Treatment(reference=""parade""))[T.trolley]",-0.43472446473564097,0.1799328751994404,-0.7873864197612844,-0.08206250970999751,-2.416036892945692,0.015690471470243356,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,coefficient,all_finishers,not_applicable,"C(vignette_condition, Treatment(reference=""CC""))[T.DIV]:C(story_condition, Treatment(reference=""parade""))[T.trolley]",-0.17221446919214972,0.17931133049947648,-0.5236582189910821,0.17922928060678273,-0.9604215679647334,0.3368430874819742,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,contrast,all_finishers,parade_only,CH_minus_CC,1.183538202181138,0.12223218092118655,0.9439675298238285,1.4231088745384477,9.682705432084742,3.5713778390074454e-22,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,contrast,all_finishers,parade_only,DIV_minus_CC,0.7077083236139339,0.12361226348746632,0.46543273913102434,0.9499839080968434,5.7252274462694555,1.03295256879951e-08,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,contrast,all_finishers,trolley_only,CH_minus_CC,0.7488137374454971,0.1320075312509153,0.4900837305056574,1.0075437443853368,5.672507699747661,1.4072219359081235e-08,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,contrast,all_finishers,trolley_only,DIV_minus_CC,0.5354938544217842,0.13000005374244483,0.2806984310983209,0.7902892777452475,4.119181792668338,3.8022009353894615e-05,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,contrast,all_finishers,equal_weighted_pooled,CH_minus_CC,0.9661759698133175,0.0899410211498134,0.789894807626928,1.142457131999707,10.742328222001982,6.439951301096794e-27,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_clark_blame_clustered_ols,contrast,all_finishers,equal_weighted_pooled,DIV_minus_CC,0.621601089017859,0.08973218217224826,0.44572924370606537,0.7974729343296527,6.927292683294438,4.289705068544215e-12,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade"")) + C(vignette_position, Treatment(reference=1))"
repeated_measures_position_sensitivity_clustered_ols,position_interaction_coefficient,all_finishers,position_sensitivity,"C(vignette_condition, Treatment(reference=""CC""))[T.CH]:C(vignette_position, Treatment(reference=1))[T.2]",-0.24276229696314355,0.3291989839993859,-0.8879804493491175,0.40245585542283036,-0.737433311652008,0.46085888406728936,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(vignette_position, Treatment(reference=1)) + C(story_condition, Treatment(reference=""parade""))"
repeated_measures_position_sensitivity_clustered_ols,position_interaction_coefficient,all_finishers,position_sensitivity,"C(vignette_condition, Treatment(reference=""CC""))[T.DIV]:C(vignette_position, Treatment(reference=1))[T.2]",0.2872839416226233,0.32950507127421536,-0.35853413079814234,0.9331020140433889,0.871865008060967,0.3832820250781357,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(vignette_position, Treatment(reference=1)) + C(story_condition, Treatment(reference=""parade""))"
repeated_measures_position_sensitivity_clustered_ols,position_interaction_coefficient,all_finishers,position_sensitivity,"C(vignette_condition, Treatment(reference=""CC""))[T.CH]:C(vignette_position, Treatment(reference=1))[T.3]",0.10351241027884828,0.31472281976926997,-0.5133329815818114,0.720357802139508,0.3289002378497226,0.7422310945287566,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(vignette_position, Treatment(reference=1)) + C(story_condition, Treatment(reference=""parade""))"
repeated_measures_position_sensitivity_clustered_ols,position_interaction_coefficient,all_finishers,position_sensitivity,"C(vignette_condition, Treatment(reference=""CC""))[T.DIV]:C(vignette_position, Treatment(reference=1))[T.3]",0.1473087464257845,0.3302254773787181,-0.49992129601404933,0.7945387888656184,0.44608534627642893,0.6555355974547834,1296,"clark_blame_rating ~ C(vignette_condition, Treatment(reference=""CC"")) * C(vignette_position, Treatment(reference=1)) + C(story_condition, Treatment(reference=""parade""))"
