Inclusion,Design,Contrast,Estimate,95% CI,p-value,p_value_two_tailed,p_value_one_tailed,p_value_holm,p_value_displayed,p_value_correction,source_file,meaning
Included,Between-subj,BCH - BCC,0.79,"[0.53, 1.05]",9.51e-09,4.754096162816398e-09,2.377048081408199e-09,9.508192325632795e-09,9.508192325632795e-09,Holm corrected,tests.csv,"Confirmatory between subjects first vignette comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type. Model formula: first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')). Covariance type: classical. Holm correction in p_value_holm is always based on the preregistered two-tailed confirmatory p-values."
Included,Between-subj,BDIV - BCC,0.09,"[-0.15, 0.33]",0.4693,0.46934415221620607,0.23467207610810303,0.46934415221620607,0.46934415221620607,Holm corrected,tests.csv,"Confirmatory between subjects first vignette comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type. Model formula: first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')). Covariance type: classical. Holm correction in p_value_holm is always based on the preregistered two-tailed confirmatory p-values."
Included,Within-subj,BCH - BCC,0.6,"[0.51, 0.69]",1.30e-30,2.5957700114407563e-30,1.2978850057203781e-30,,1.2978850057203781e-30,Unadjusted,tests.csv,Exploratory within subjects all vignettes comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Included,Within-subj,BDIV - BCC,0.21,"[0.13, 0.29]",2.09e-07,4.1777783619312707e-07,2.0888891809656354e-07,,2.0888891809656354e-07,Unadjusted,tests.csv,Exploratory within subjects all vignettes comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Everyone,Between-subj,BCH - BCC,0.65,"[0.46, 0.83]",1.61e-11,3.21944095711858e-11,1.60972047855929e-11,,1.60972047855929e-11,Unadjusted,tests.csv,Exploratory between subjects first vignette comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: all finishers. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Everyone,Between-subj,BDIV - BCC,-0.05,"[-0.29, 0.18]",0.6735,0.6529228542809775,0.6735385728595112,,0.6735385728595112,Unadjusted,tests.csv,Exploratory between subjects first vignette comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: all finishers. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Everyone,Within-subj,BCH - BCC,0.5,"[0.41, 0.58]",1.40e-27,2.8049469739355603e-27,1.4024734869677802e-27,,1.4024734869677802e-27,Unadjusted,tests.csv,Exploratory within subjects all vignettes comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: all finishers. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Everyone,Within-subj,BDIV - BCC,0.2,"[0.13, 0.28]",4.82e-08,9.635938524148511e-08,4.8179692620742556e-08,,4.8179692620742556e-08,Unadjusted,tests.csv,Exploratory within subjects all vignettes comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: all finishers. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
