Inclusion,DV,Story Family,Model,Design,Contrast,Estimate,95% CI,p-value
Everyone,Punish,Firework,gpt-4o,Within-subj,DIV - CC,3.19,"[1.65, 4.73]",1.33e-04
Everyone,Punish,Trolley,gpt-4o,Between-subj,CH - CC,1.45,"[-0.21, 3.12]",0.0838
Everyone,Punish,Trolley,gpt-4o,Between-subj,DIV - CC,-1.25,"[-2.57, 0.08]",0.0637
Everyone,Punish,Trolley,gpt-4o,Within-subj,CH - CC,0.91,"[0.36, 1.46]",0.0017
Everyone,Punish,Trolley,gpt-4o,Within-subj,DIV - CC,0.59,"[0.10, 1.08]",0.0187
Everyone,Blame,Pooled,grok-3,Between-subj,CH - CC,0.14,"[0.02, 0.26]",0.0230
Everyone,Blame,Pooled,grok-3,Between-subj,DIV - CC,-0.31,"[-0.55, -0.08]",0.0095
Everyone,Blame,Pooled,grok-3,Within-subj,CH - CC,0.34,"[0.16, 0.52]",4.17e-04
Everyone,Blame,Pooled,grok-3,Within-subj,DIV - CC,0.2,"[0.07, 0.34]",0.0029
Everyone,Blame,Firework,grok-3,Between-subj,CH - CC,0.24,"[0.04, 0.44]",0.0212
Everyone,Blame,Firework,grok-3,Between-subj,DIV - CC,0.22,"[0.01, 0.43]",0.0416
Everyone,Blame,Firework,grok-3,Within-subj,CH - CC,0.33,"[0.05, 0.62]",0.0230
Everyone,Blame,Firework,grok-3,Within-subj,DIV - CC,0.5,"[0.34, 0.66]",4.25e-08
Everyone,Blame,Trolley,grok-3,Between-subj,CH - CC,0.0,,
Everyone,Blame,Trolley,grok-3,Between-subj,DIV - CC,-0.88,"[-1.05, -0.71]",7.62e-09
Everyone,Blame,Trolley,grok-3,Within-subj,CH - CC,0.35,"[0.11, 0.59]",0.0053
Everyone,Blame,Trolley,grok-3,Within-subj,DIV - CC,-0.12,"[-0.30, 0.06]",0.1824
Everyone,Wrong,Pooled,grok-3,Between-subj,CH - CC,0.32,"[0.00, 0.63]",0.0482
Everyone,Wrong,Pooled,grok-3,Between-subj,DIV - CC,-0.8,"[-1.10, -0.50]",1.49e-06
Everyone,Wrong,Pooled,grok-3,Within-subj,CH - CC,0.35,"[0.17, 0.53]",1.59e-04
Everyone,Wrong,Pooled,grok-3,Within-subj,DIV - CC,0.25,"[0.14, 0.37]",3.28e-05
Everyone,Wrong,Firework,grok-3,Between-subj,CH - CC,0.22,"[-0.03, 0.47]",0.0796
Everyone,Wrong,Firework,grok-3,Between-subj,DIV - CC,-0.84,"[-1.09, -0.60]",1.22e-07
Everyone,Wrong,Firework,grok-3,Within-subj,CH - CC,0.3,"[0.02, 0.58]",0.0376
Everyone,Wrong,Firework,grok-3,Within-subj,DIV - CC,0.46,"[0.31, 0.62]",2.31e-07
Everyone,Wrong,Trolley,grok-3,Between-subj,CH - CC,0.07,"[-0.08, 0.23]",0.3356
Everyone,Wrong,Trolley,grok-3,Between-subj,DIV - CC,-0.88,"[-1.05, -0.71]",7.62e-09
Everyone,Wrong,Trolley,grok-3,Within-subj,CH - CC,0.41,"[0.19, 0.63]",4.73e-04
Everyone,Wrong,Trolley,grok-3,Within-subj,DIV - CC,0.02,"[-0.13, 0.17]",0.7847
Everyone,Punish,Pooled,grok-3,Between-subj,CH - CC,0.54,"[-0.34, 1.41]",0.2241
Everyone,Punish,Pooled,grok-3,Between-subj,DIV - CC,-0.09,"[-0.83, 0.64]",0.8005
Everyone,Punish,Pooled,grok-3,Within-subj,CH - CC,0.48,"[0.19, 0.76]",0.0011
Everyone,Punish,Pooled,grok-3,Within-subj,DIV - CC,0.75,"[0.49, 1.00]",5.92e-08
Everyone,Punish,Firework,grok-3,Between-subj,CH - CC,0.48,"[-0.21, 1.16]",0.1623
Everyone,Punish,Firework,grok-3,Between-subj,DIV - CC,0.0,,
Everyone,Punish,Firework,grok-3,Within-subj,CH - CC,0.57,"[0.08, 1.07]",0.0234
Everyone,Punish,Firework,grok-3,Within-subj,DIV - CC,1.46,"[1.09, 1.83]",1.45e-10
Everyone,Punish,Trolley,grok-3,Between-subj,CH - CC,-0.29,"[-0.99, 0.42]",0.4150
Everyone,Punish,Trolley,grok-3,Between-subj,DIV - CC,-0.5,"[-1.07, 0.07]",0.0827
Everyone,Punish,Trolley,grok-3,Within-subj,CH - CC,0.37,"[0.11, 0.62]",0.0054
Everyone,Punish,Trolley,grok-3,Within-subj,DIV - CC,-0.04,"[-0.21, 0.12]",0.6221
