Inclusion,Model,Story Condition,Condition,Blame First Vignette,Blame All Vignettes
Everyone,gemini-2.5-flash,Trolley,CC Distal,7.39,7.43
Everyone,gemini-2.5-flash,Trolley,CH Proximate,,1.0
Everyone,gpt-4o,Pooled,CC Proximate,,8.38
Everyone,gpt-4o,Pooled,CH Distal,7.75,7.49
Everyone,gpt-4o,Pooled,DIV Distal,6.96,7.37
Everyone,gpt-4o,Pooled,CC Distal,6.56,6.78
Everyone,gpt-4o,Pooled,CH Proximate,,2.27
Everyone,gpt-4o,Firework,CC Proximate,,9.0
Everyone,gpt-4o,Firework,CH Distal,8.0,8.52
Everyone,gpt-4o,Firework,DIV Distal,7.81,8.56
Everyone,gpt-4o,Firework,CC Distal,7.53,7.79
Everyone,gpt-4o,Firework,CH Proximate,,2.44
Everyone,gpt-4o,Trolley,CC Proximate,,7.7
Everyone,gpt-4o,Trolley,CH Distal,7.47,6.36
Everyone,gpt-4o,Trolley,DIV Distal,5.83,6.07
Everyone,gpt-4o,Trolley,CC Distal,5.71,5.68
Everyone,gpt-4o,Trolley,CH Proximate,,2.09
Everyone,grok-3,Pooled,CC Proximate,,8.11
Everyone,grok-3,Pooled,CH Distal,7.14,7.17
Everyone,grok-3,Pooled,DIV Distal,6.69,7.03
Everyone,grok-3,Pooled,CC Distal,7.0,6.83
Everyone,grok-3,Pooled,CH Proximate,,2.03
Everyone,grok-3,Firework,CC Proximate,,8.83
Everyone,grok-3,Firework,CH Distal,7.24,7.67
Everyone,grok-3,Firework,DIV Distal,7.22,7.83
Everyone,grok-3,Firework,CC Distal,7.0,7.33
Everyone,grok-3,Firework,CH Proximate,,2.96
Everyone,grok-3,Trolley,CC Proximate,,7.31
Everyone,grok-3,Trolley,CH Distal,7.0,6.61
Everyone,grok-3,Trolley,DIV Distal,6.12,6.14
Everyone,grok-3,Trolley,CC Distal,7.0,6.27
Everyone,grok-3,Trolley,CH Proximate,,1.0
