Story,Design,Contrast,Estimate,95% CI,p-value,p_value_two_tailed,p_value_one_tailed,p_value_displayed,source_file,meaning
Firework,Between-subj,BCH - BCC,1.33,"[0.65, 2.02]",1.04e-04,0.0002089703349936061,0.00010448516749680305,0.00010448516749680305,tests.csv,Exploratory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: firework. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Firework,Between-subj,BDIV - BCC,0.65,"[-0.10, 1.40]",0.0437,0.08731902446198161,0.04365951223099081,0.04365951223099081,tests.csv,Exploratory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: firework. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Firework,Within-subj,BCH - BCC,1.22,"[0.96, 1.48]",2.13e-16,4.268064998754664e-16,2.134032499377332e-16,2.134032499377332e-16,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: firework. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Firework,Within-subj,BDIV - BCC,0.72,"[0.45, 0.99]",1.99e-07,3.975516408316147e-07,1.9877582041580735e-07,1.9877582041580735e-07,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: firework. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Trolley,Between-subj,BCH - BCC,0.74,"[0.05, 1.42]",0.0177,0.03531177385960326,0.01765588692980163,0.01765588692980163,tests.csv,Exploratory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: trolley. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Trolley,Between-subj,BDIV - BCC,0.74,"[0.06, 1.42]",0.0163,0.0326892018597061,0.01634460092985305,0.01634460092985305,tests.csv,Exploratory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: trolley. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Trolley,Within-subj,BCH - BCC,0.77,"[0.43, 1.11]",6.77e-06,1.3547406785990493e-05,6.773703392995246e-06,6.773703392995246e-06,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: trolley. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Trolley,Within-subj,BDIV - BCC,0.47,"[0.16, 0.79]",0.0019,0.003768656060007102,0.001884328030003551,0.001884328030003551,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: trolley. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
