Inclusion,Design,Contrast,Estimate,95% CI,p-value,p_value_two_tailed,p_value_one_tailed,p_value_holm,p_value_displayed,p_value_correction,source_file,meaning
Included,Between-subj,BCH - BCC,1.03,"[0.54, 1.51]",8.19e-05,4.0963010406136734e-05,2.0481505203068367e-05,8.192602081227347e-05,8.192602081227347e-05,Holm corrected,tests.csv,"Confirmatory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type. Model formula: first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')). Covariance type: classical. Holm correction in p_value_holm is always based on the preregistered two-tailed confirmatory p-values."
Included,Between-subj,BDIV - BCC,0.67,"[0.18, 1.15]",0.0070,0.007008009963601719,0.0035040049818008596,0.007008009963601719,0.007008009963601719,Holm corrected,tests.csv,"Confirmatory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type. Model formula: first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')). Covariance type: classical. Holm correction in p_value_holm is always based on the preregistered two-tailed confirmatory p-values."
Included,Within-subj,BCH - BCC,1.0,"[0.79, 1.22]",1.79e-18,3.5818915283669664e-18,1.7909457641834832e-18,,1.7909457641834832e-18,Unadjusted,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Included,Within-subj,BDIV - BCC,0.6,"[0.40, 0.81]",1.09e-08,2.186749024411211e-08,1.0933745122056055e-08,,1.0933745122056055e-08,Unadjusted,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Everyone,Between-subj,BCH - BCC,1.01,"[0.63, 1.40]",2.29e-07,4.572025393213213e-07,2.2860126966066065e-07,,2.2860126966066065e-07,Unadjusted,tests.csv,Exploratory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: all finishers. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Everyone,Between-subj,BDIV - BCC,0.48,"[0.06, 0.90]",0.0129,0.02581706083502622,0.01290853041751311,,0.01290853041751311,Unadjusted,tests.csv,Exploratory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: all finishers. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Everyone,Within-subj,BCH - BCC,0.96,"[0.78, 1.14]",1.50e-23,3.00193429502871e-23,1.500967147514355e-23,,1.500967147514355e-23,Unadjusted,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: all finishers. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Everyone,Within-subj,BDIV - BCC,0.62,"[0.44, 0.80]",1.22e-11,2.4378137456025532e-11,1.2189068728012766e-11,,1.2189068728012766e-11,Unadjusted,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: all finishers. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
