Inclusion,Design,Contrast,Estimate,95% CI,p-value,p_value_raw,p_value_holm,p_value_reported,p_value_correction,source_file,source_row_note
Included,Between-subj,BCH - BCC,1.03,"[0.54, 1.51]",8.19e-05,4.0963010406136734e-05,8.192602081227347e-05,8.192602081227347e-05,Holm corrected,tests.csv,H1: CH vs CC on first vignette (Clark blame)
Included,Between-subj,BDIV - BCC,0.67,"[0.18, 1.15]",0.0070,0.007008009963601719,0.007008009963601719,0.007008009963601719,Holm corrected,tests.csv,H2: DIV vs CC on first vignette (Clark blame)
Included,Within-subj,BCH - BCC,1.0,"[0.79, 1.22]",3.58e-18,3.5818915283669664e-18,,3.5818915283669664e-18,Unadjusted,tests.csv,Within-subject delta vs 0 (included_only): Clark blame CH-CC
Included,Within-subj,BDIV - BCC,0.6,"[0.40, 0.81]",2.19e-08,2.186749024411211e-08,,2.186749024411211e-08,Unadjusted,tests.csv,Within-subject delta vs 0 (included_only): Clark blame DIV-CC
Everyone,Between-subj,BCH - BCC,1.01,"[0.61, 1.42]",1.02e-06,1.0205125322987574e-06,2.0410250645975147e-06,1.0205125322987574e-06,Unadjusted,tests.csv,H1: CH vs CC on first vignette (Clark blame)
Everyone,Between-subj,BDIV - BCC,0.48,"[0.08, 0.88]",0.0201,0.020123420619263366,0.020123420619263366,0.020123420619263366,Unadjusted,tests.csv,H2: DIV vs CC on first vignette (Clark blame)
Everyone,Within-subj,BCH - BCC,0.96,"[0.78, 1.14]",3.00e-23,3.00193429502871e-23,,3.00193429502871e-23,Unadjusted,tests.csv,Within-subject delta vs 0 (all_finishers): Clark blame CH-CC
Everyone,Within-subj,BDIV - BCC,0.62,"[0.44, 0.80]",2.44e-11,2.4378137456025532e-11,,2.4378137456025532e-11,Unadjusted,tests.csv,Within-subject delta vs 0 (all_finishers): Clark blame DIV-CC
