row_label,column_label,row_column_name,column_column_name,n_pairs,mean_difference_column_minus_row,t_statistic,p_value,cohen_dz
CC Distal,CH Distal,clark_blame_cc,clark_blame_ch,282,1.00354609929078,9.318759928769879,3.5818915283669664e-18,0.5549240782843557
CC Distal,DIV Distal,clark_blame_cc,clark_blame_div,282,0.6028368794326241,5.761536894826872,2.186749024411211e-08,0.3430945292401324
CC Distal,CC Proximate,clark_blame_cc,proximate_blame_cc,282,1.5638297872340425,11.635742794479116,8.344493591751404e-26,0.6928984000806325
CC Distal,CH Proximate,clark_blame_cc,proximate_blame_ch,282,-0.9078014184397163,-4.6199368970387455,5.8529158002903155e-06,-0.27511323866238235
CH Distal,DIV Distal,clark_blame_ch,clark_blame_div,282,-0.40070921985815605,-3.637330442447124,0.0003276589024128326,-0.21659987580096854
CH Distal,CC Proximate,clark_blame_ch,proximate_blame_cc,282,0.5602836879432624,4.676433131735616,4.539068358438383e-06,0.27847754047993495
CH Distal,CH Proximate,clark_blame_ch,proximate_blame_ch,282,-1.9113475177304964,-9.367861296177274,2.5142329584243807e-18,-0.5578480221630825
DIV Distal,CC Proximate,clark_blame_div,proximate_blame_cc,282,0.9609929078014184,7.800861143122086,1.2130624131658289e-13,0.4645345209834914
DIV Distal,CH Proximate,clark_blame_div,proximate_blame_ch,282,-1.5106382978723405,-8.06743543915234,2.09885897184216e-14,-0.4804087893034842
CC Proximate,CH Proximate,proximate_blame_cc,proximate_blame_ch,282,-2.471631205673759,-14.055753825255248,2.392198314457106e-34,-0.8370079598242423
